date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:57	82/82	---MCZ	200	added ('OK')	text/plain	etag:W/%2242-1891c770b48%22	https://aniwatch.to/robots.txt		(from )
10:16:57	24824/24824	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Aug%202023%2004:46:57%20GMT	https://aniwatch.to/	C:/Users/arjit/OneDrive/Desktop/aniwatch/aniwatch/aniwatch.to/index.html	(from )
10:16:57	19481/19481	---M--	200	added ('OK')	image/png	etag:W/%224c19-1891c76eaaa%22	https://aniwatch.to/images/favicon.png?v=0.1	C:/Users/arjit/OneDrive/Desktop/aniwatch/aniwatch/aniwatch.to/images/favicon7e0c.png	(from https://aniwatch.to/)
10:16:57	578205/578205	---M--	200	added ('OK')	image/png	etag:W/%228d29d-1891c770bda%22	https://aniwatch.to/images/capture.png	C:/Users/arjit/OneDrive/Desktop/aniwatch/aniwatch/aniwatch.to/images/capture.png	(from https://aniwatch.to/)
10:16:57	14085/14085	---M--	200	added ('OK')	image/png	etag:W/%223705-1894098091f%22	https://aniwatch.to/apple-touch-icon.png?v=0.1	C:/Users/arjit/OneDrive/Desktop/aniwatch/aniwatch/aniwatch.to/apple-touch-icon7e0c.png	(from https://aniwatch.to/)
10:16:57	2969/2969	---M--	200	added ('OK')	image/png	etag:W/%22b99-1891c76ea9f%22	https://aniwatch.to/favicon-32x32.png	C:/Users/arjit/OneDrive/Desktop/aniwatch/aniwatch/aniwatch.to/favicon-32x32.png	(from https://aniwatch.to/)
10:16:58	1441/1441	---M--	200	added ('OK')	image/png	etag:W/%225a1-1891c769795%22	https://aniwatch.to/favicon-16x16.png	C:/Users/arjit/OneDrive/Desktop/aniwatch/aniwatch/aniwatch.to/favicon-16x16.png	(from https://aniwatch.to/)
10:16:58	2240/2240	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228c0-1894097d004%22	https://aniwatch.to/safari-pinned-tab.svg?v=0.1	C:/Users/arjit/OneDrive/Desktop/aniwatch/aniwatch/aniwatch.to/safari-pinned-tab7e0c.svg	(from https://aniwatch.to/)
10:16:58	15004/15004	---M--	200	added ('OK')	image/png	etag:W/%223a9c-1894097d002%22	https://aniwatch.to/images/android-chrome-192x192.png	C:/Users/arjit/OneDrive/Desktop/aniwatch/aniwatch/aniwatch.to/images/android-chrome-192x192.png	(from https://aniwatch.to/)
10:16:58	32458/32458	---M--	200	added ('OK')	image/png	etag:W/%227eca-18940981807%22	https://aniwatch.to/images/android-chrome-512x512.png	C:/Users/arjit/OneDrive/Desktop/aniwatch/aniwatch/aniwatch.to/images/android-chrome-512x512.png	(from https://aniwatch.to/)
